Month,Year,Date,Confirmed Cases (Cumulative),Confirmed Cases: Daily Change,Active Cases (As of Date),Recovered Cases (Cumulative),In Hospital (As of Date),In Hospital: Daily Change,In Intensive Care (As of Date),In Intensive Care: Daily Change,Deaths (Cumulative),Deaths: Daily Change,Test Count: Edmonton,Test Count: Alberta,Test Percentage,Test Positivity Rate,Hospitalization Rate,Rate of Cases: Edmonton
March,2020,2020-03,78,,,,,,,,,,16,61,26,0,,
April,2020,2020-04,400,3,,,,,,,,,322,648,50,2.48,,
May,2020,2020-05,499,3,,,,,,,,,316,784,40,1.27,,
June,2020,2020-06,796,1,,,,,,,,,444,1334,33,0.45,,
July,2020,2020-07,1387,0,,,,,,,,,399,1148,35,0.25,0.2,
August,2020,2020-08,2489,1,,,,,,,,,452,1587,28,0.22,0.3,
September,2020,2020-09,4336,6,,,,,,,,,567,1555,36,2.65,0.3,
October,2020,2020-10,7957,1,,,,,,,,,570,1833,31,0.35,0.3,
November,2020,2020-11,17133,7,,,,,,,,,591,1485,40,0.68,0.3,
December,2020,2020-12,37208,8,,,,,,,,,776,2083,37,1.42,0.3,
January,2021,2021-01,49191,4,,,,,,,,,841,2878,29,0.71,0.4,
February,2021,2021-02,52916,9,,,,,,,,,746,2869,26,1.47,0.4,
March,2021,2021-03,55588,11,,,,,,,,,1047,3594,29,0,0.2,
April,2021,2021-04,63284,3,,,,,,,,,873,3507,25,0.34,0.2,
May,2021,2021-05,74568,4,,,,,,,,,968,2854,34,0.41,0.2,
June,2021,2021-06,77526,11,,,,,,,,,850,2728,31,1.18,0.2,
July,2021,2021-07,77928,14,,,,,,,,,1036,3143,33,1.54,0.3,
August,2021,2021-08,80730,12,,,,,,,,,403,1646,24,2.73,0.3,
September,2021,2021-09,90987,5,,,,,,,,,376,1316,29,0.8,0.5,
October,2021,2021-10,99725,23,,,,,,,,,1455,3697,39,1.37,0.6,
November,2021,2021-11,103061,14,,,,,,,,,1047,2145,49,1.15,0.7,
December,2021,2021-12,107995,9,,,,,,,,,855,1929,44,1.05,0.9,
January,2022,2022-01,140672,17,,,,,,,,,1426,2549,56,1.05,1,
,,,,38,,,,,,,,,1625,4771,34,3.08,1.2,
,,,,46,,,,,,,,,1485,3610,41,2.76,1.1,
,,,,20,,,,,,,,,1085,4009,27,2.49,1.1,
,,,,12,,,,,,,,,396,1723,23,2.53,1,
,,,,13,,,,,,,,,553,1807,31,1.81,1,
,,,,21,270,77,,,,,4,,505,1187,43,4.55,0.8,
,,,,10,256,98,,,,,4,0,337,941,36,1.48,0.7,
,,,,11,243,121,,,,,4,0,486,1705,29,1.65,0.7,
,,,,10,232,139,,,,,5,1,461,1288,36,2.17,0.9,
,,,,9,235,144,,,,,7,2,630,2291,27,1.11,0.9,
,,,,2,192,189,,,,,7,0,945,2851,33,0.95,1,
,,,,8,183,205,,,,,7,0,889,2240,40,1.12,0.9,
,,,,4,168,224,,,,,7,0,454,2305,20,1.1,1.1,
,,,,2,158,236,,,,,8,1,532,2136,25,0.75,1,
,,,,5,,,,,,,8,0,506,2573,20,0.59,0.7,
,,,,10,,,,,,,8,0,877,3095,28,1.14,0.8,
,,,,7,138,283,,,,,8,0,763,2967,26,0.66,0.8,
,,,,5,128,297,,,,,8,0,1876,5341,35,0.43,0.7,
,,,,3,114,307,,,,,8,0,1237,3801,33,0.32,0.8,
,,,,6,113,316,,,,,9,1,1438,4371,33,0.42,0.7,
,,,,12,109,328,,,,,9,0,1163,4016,29,0.86,0.7,
,,,,5,105,337,,,,,9,0,1106,4314,26,0.54,0.9,
,,,,4,106,339,,,,,9,0,705,4058,17,0.71,0.6,
,,,,8,113,343,,,,,10,1,1014,4473,23,1.08,0.4,
,,,,12,116,349,,,,,10,0,1110,4531,24,1.35,0.4,
,,,,8,117,352,,,,,10,0,1145,4663,25,0.96,0.3,
,,,,4,118,356,,,,,10,0,1417,4303,33,0.49,0.2,
,,,,2,112,363,,,,,11,1,843,3445,24,0.59,0.2,
,,,,3,112,366,,,,,11,0,698,4363,16,1.15,0,
,,,,3,109,369,,,,,12,1,786,5077,15,1.02,0.1,
,,,,5,114,372,,,,,12,0,772,5035,15,1.17,0.1,
,,,,1,108,381,,,,,12,0,710,2846,25,0.42,0.1,
,,,,1,99,393,,,,,12,0,1295,4971,26,0.23,0.2,
,,,,2,96,395,,,,,12,0,945,3242,29,0.32,0.2,
,,,,1,91,399,,,,,12,0,685,2557,27,0.44,0.3,
,,,,3,82,409,,,,,12,0,679,3033,22,0.88,0.3,
