Index,Month,Year,Date,Report Period,Unemployment Rate,National Unemployment Rate
1,Mar,2020,2020-03,2020-03-01T00:00:00.000,8,6
2,Apr,2020,2020-04,2020-04-01T00:00:00.000,10,9
3,May,2020,2020-05,2020-05-01T00:00:00.000,14,12
4,Jun,2020,2020-06,2020-06-01T00:00:00.000,16,13
5,Jul,2020,2020-07,2020-07-01T00:00:00.000,15,12
6,Aug,2020,2020-08,2020-08-01T00:00:00.000,14,11
7,Sep,2020,2020-09,2020-09-01T00:00:00.000,13,10
8,Oct,2020,2020-10,2020-10-01T00:00:00.000,12,10
9,Nov,2020,2020-11,2020-11-01T00:00:00.000,12,9
10,Dec,2020,2020-12,2020-12-01T00:00:00.000,11,9
11,Jan,2021,2021-01,2021-01-01T00:00:00.000,12,9
12,Feb,2021,2021-02,2021-02-01T00:00:00.000,12,9
13,Mar,2021,2021-03,2021-03-01T00:00:00.000,11,8
14,Apr,2021,2021-04,2021-04-01T00:00:00.000,11,8
15,May,2021,2021-05,2021-05-01T00:00:00.000,10,8
16,Jun,2021,2021-06,2021-06-01T00:00:00.000,10,8
17,Jul,2021,2021-07,2021-07-01T00:00:00.000,9,8
18,Aug,2021,2021-08,2021-08-01T00:00:00.000,8,7
19,Sep,2021,2021-09,2021-09-01T00:00:00.000,8,7
