Month,Year,Date,Unemployement Rate,National Unemployment Rate
March,2020,2020-03,8,6
April,2020,2020-04,10,9
May,2020,2020-05,14,12
June,2020,2020-06,16,13
July,2020,2020-07,15,12
August,2020,2020-08,14,11
September,2020,2020-09,13,10
October,2020,2020-10,12,10
November,2020,2020-11,12,9
December,2020,2020-12,11,9
January,2021,2021-01,12,9
February,2021,2021-02,12,9
March,2021,2021-03,11,8
April,2021,2021-04,11,8
May,2021,2021-05,10,8
June,2021,2021-06,10,8
July,2021,2021-07,9,8
August,2021,2021-08,8,7
September,2021,2021-09,8,7
