ID,DateTime,MONTH,YEAR,REPORT_PERIOD,UNEMPLOYMENT_RATE,National_Unemployment_Rate
1,01/31/2010 12:00:00 AM,JANUARY,2010,2010-01-10T00:00:00.000,7,8
2,02/28/2010 12:00:00 AM,FEBRUARY,2010,2010-02-10T00:00:00.000,7,8
3,03/31/2010 12:00:00 AM,MARCH,2010,2010-03-10T00:00:00.000,8,8
4,04/30/2010 12:00:00 AM,APRIL,2010,2010-04-10T00:00:00.000,8,8
5,05/31/2010 12:00:00 AM,MAY,2010,2010-05-10T00:00:00.000,7,8
6,06/30/2010 12:00:00 AM,JUNE,2010,2010-06-10T00:00:00.000,7,8
7,07/31/2010 12:00:00 AM,JULY,2010,2010-07-10T00:00:00.000,7,8
8,08/31/2010 12:00:00 AM,AUGUST,2010,2010-08-10T00:00:00.000,7,8
9,09/30/2010 12:00:00 AM,SEPTEMBER,2010,2010-09-10T00:00:00.000,7,8
10,10/31/2010 12:00:00 AM,OCTOBER,2010,2010-10-10T00:00:00.000,6,8
11,11/30/2010 12:00:00 AM,NOVEMBER,2010,2010-11-10T00:00:00.000,6,8
12,12/31/2010 12:00:00 AM,DECEMBER,2010,2010-12-10T00:00:00.000,6,8
13,01/31/2011 12:00:00 AM,JANUARY,2011,2011-01-11T00:00:00.000,6,8
14,02/28/2011 12:00:00 AM,FEBRUARY,2011,2011-02-11T00:00:00.000,6,8
15,03/31/2011 12:00:00 AM,MARCH,2011,2011-03-11T00:00:00.000,5,8
16,04/30/2011 12:00:00 AM,APRIL,2011,2011-04-11T00:00:00.000,5,8
17,05/31/2011 12:00:00 AM,MAY,2011,2011-05-11T00:00:00.000,5,8
18,06/30/2011 12:00:00 AM,JUNE,2011,2011-06-11T00:00:00.000,6,8
19,07/31/2011 12:00:00 AM,JULY,2011,2011-07-11T00:00:00.000,6,8
20,08/31/2011 12:00:00 AM,AUGUST,2011,2011-08-11T00:00:00.000,5,7
21,09/30/2011 12:00:00 AM,SEPTEMBER,2011,2011-09-11T00:00:00.000,5,7
22,10/31/2011 12:00:00 AM,OCTOBER,2011,2011-10-11T00:00:00.000,6,7
23,11/30/2011 12:00:00 AM,NOVEMBER,2011,2011-11-11T00:00:00.000,6,8
24,12/31/2011 12:00:00 AM,DECEMBER,2011,2011-12-11T00:00:00.000,5,8
25,01/31/2012 12:00:00 AM,JANUARY,2012,2012-01-12T00:00:00.000,5,8
26,02/29/2012 12:00:00 AM,FEBRUARY,2012,2012-02-12T00:00:00.000,5,8
27,03/31/2012 12:00:00 AM,MARCH,2012,2012-03-12T00:00:00.000,6,8
28,04/30/2012 12:00:00 AM,APRIL,2012,2012-04-12T00:00:00.000,5,7
29,05/31/2012 12:00:00 AM,MAY,2012,2012-05-12T00:00:00.000,5,7
30,06/30/2012 12:00:00 AM,JUNE,2012,2012-06-12T00:00:00.000,4,7
31,07/31/2012 12:00:00 AM,JULY,2012,2012-07-12T00:00:00.000,5,7
32,08/31/2012 12:00:00 AM,AUGUST,2012,2012-08-12T00:00:00.000,5,7
33,09/30/2012 12:00:00 AM,SEPTEMBER,2012,2012-09-12T00:00:00.000,4,7
34,10/31/2012 12:00:00 AM,OCTOBER,2012,2012-10-12T00:00:00.000,4,7
35,11/30/2012 12:00:00 AM,NOVEMBER,2012,2012-11-12T00:00:00.000,4,7
36,12/31/2012 12:00:00 AM,DECEMBER,2012,2012-12-12T00:00:00.000,5,7
37,01/31/2013 12:00:00 AM,JANUARY,2013,2013-01-13T00:00:00.000,5,7
38,02/28/2013 12:00:00 AM,FEBRUARY,2013,2013-02-13T00:00:00.000,5,7
39,03/31/2013 12:00:00 AM,MARCH,2013,2013-03-13T00:00:00.000,5,7
40,04/30/2013 12:00:00 AM,APRIL,2013,2013-04-13T00:00:00.000,5,7
41,05/31/2013 12:00:00 AM,MAY,2013,2013-05-13T00:00:00.000,4,7
42,06/30/2013 12:00:00 AM,JUNE,2013,2013-06-13T00:00:00.000,5,7
43,07-12-2013 00:00,JULY,2013,2013-07-13T00:00:00.000,5,7
44,08-09-2013 00:00,AUGUST,2013,2013-08-13T00:00:00.000,5,7
45,09-06-2013 00:00,SEPTEMBER,2013,2013-09-13T00:00:00.000,5,7
46,10/31/2013 12:00:00 AM,OCTOBER,2013,2013-10-13T00:00:00.000,5,7
47,11-08-2013 00:00,NOVEMBER,2013,2013-11-13T00:00:00.000,5,7
48,12/13/2013 12:00:00 AM,DECEMBER,2013,2013-12-13T00:00:00.000,6,7
49,01/31/2014 12:00:00 AM,JANUARY,2014,2014-01-14T00:00:00.000,6,7
50,02/28/2014 12:00:00 AM,FEBRUARY,2014,2014-02-14T00:00:00.000,5,7
51,03/31/2014 12:00:00 AM,MARCH,2014,2014-03-14T00:00:00.000,5,7
52,04/30/2014 12:00:00 AM,APRIL,2014,2014-04-14T00:00:00.000,5,7
53,05/31/2014 12:00:00 AM,MAY,2014,2014-05-14T00:00:00.000,5,7
54,06-06-2014 00:00,JUNE,2014,2014-06-14T00:00:00.000,6,7
55,07/18/2014 12:00:00 AM,JULY,2014,2014-07-14T00:00:00.000,5,7
56,08-08-2014 00:00,AUGUST,2014,2014-08-14T00:00:00.000,5,7
57,09-12-2014 00:00,SEPTEMBER,2014,2014-09-14T00:00:00.000,5,7
58,10-10-2014 00:00,OCTOBER,2014,2014-10-14T00:00:00.000,5,7
59,11-07-2014 00:00,NOVEMBER,2014,2014-11-14T00:00:00.000,5,7
60,12-05-2014 00:00,DECEMBER,2014,2014-12-14T00:00:00.000,5,7
61,01-08-2015 00:00,JANUARY,2015,2015-01-15T00:00:00.000,5,7
62,02-02-2015 00:00,FEBRUARY,2015,2015-02-15T00:00:00.000,5,7
63,03-02-2015 00:00,MARCH,2015,2015-03-15T00:00:00.000,6,7
